@relation TimeBasedFeatures-15s-TOR-NonTOR-85.arff

@attribute total_fiat numeric
@attribute total_biat numeric
@attribute min_fiat numeric
@attribute min_biat numeric
@attribute class1 {TOR,NONTOR}

@data
14452,5666,25226,24528,NONTOR
15115,5682,25137,24751,NONTOR
15632,5680,25640,24481,NONTOR
14472,5852,25652,26114,NONTOR
15482,5673,24832,24544,NONTOR
14904,5680,25325,24776,NONTOR
14267,5797,24872,24585,NONTOR
14062,5958,26807,24489,NONTOR
14356,5674,25426,24618,NONTOR
14484,5674,25659,24691,NONTOR
11748,5676,25799,24278,NONTOR
15188,5577,25942,26233,NONTOR
14388,5675,26078,24689,NONTOR
15521,5987,24671,24745,NONTOR
15013,5675,26376,24504,NONTOR
15302,5676,25815,24445,NONTOR
14807,5682,26386,24502,NONTOR
15732,5681,24529,25543,NONTOR
15616,5656,24907,24965,NONTOR
15709,5476,24499,24531,NONTOR
15163,5674,25833,24675,NONTOR
13961,5663,26941,24476,NONTOR
14753,5663,25556,24600,NONTOR
15583,5675,25454,25293,NONTOR
15136,5676,26822,24130,NONTOR
15724,5946,24499,24444,NONTOR
14703,5580,25155,24669,NONTOR
15434,5673,26286,24511,NONTOR
14291,5669,26141,24649,NONTOR
15309,5542,25207,24717,NONTOR
14181,5939,25534,24476,NONTOR
15597,5613,25593,25097,NONTOR
14968,5674,24718,26379,NONTOR
12716,5667,26243,24614,NONTOR
14748,5675,25851,24904,NONTOR
15711,5696,25832,24664,NONTOR
15271,5686,25090,24587,NONTOR
15674,6605,25207,24757,NONTOR
15383,5865,25201,24766,NONTOR
15577,5983,25290,24482,NONTOR
15260,6475,24919,25450,NONTOR
15147,5684,26408,24939,NONTOR
14989,5736,24590,24301,NONTOR
15456,5974,25455,24599,NONTOR
3977,11383,139862,140567,NONTOR
12,30,79825,485144,NONTOR
50,25,1361516,1359995,NONTOR
12,31556,74657,481199,NONTOR
70,22,24545,31661,NONTOR
49,967,66098,483141,NONTOR
91,53,25859,37233,NONTOR
7,90,100685,481775,NONTOR
331,96,25071,34425,NONTOR
36,1832,81025,484148,NONTOR
336,108,25279,30069,NONTOR
9,18130,84611,481713,NONTOR
79,15,25063,49646,NONTOR
47,79,87176,483664,NONTOR
36,10,25310,31087,NONTOR
21,12322,78748,487628,NONTOR
26,57,25596,31327,NONTOR
12,38882,70163,483325,NONTOR
469,21,24933,30353,NONTOR
45,72308,78463,481474,NONTOR
69,23536,90122,484155,NONTOR
97,30,26694,35802,NONTOR
78,29480,74716,488717,NONTOR
49,31,24807,32230,NONTOR
26,10058,93597,486101,NONTOR
294,45,24358,38140,NONTOR
6,18810,131350,482078,NONTOR
76,35,25704,41349,NONTOR
28,667,83639,483435,NONTOR
93,42,25062,54101,NONTOR
9,247,78132,483925,NONTOR
34,5814,93901,485251,NONTOR
697,26,26596,29647,NONTOR
30,26,25465,34151,NONTOR
12,7448,96188,482149,NONTOR
467,24,25940,42166,NONTOR
13,11833,81725,484671,NONTOR
-1,-1,-1,-1,NONTOR
18882,-1,22142,-1,NONTOR
1316,22,130779,77460,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
89,5612,75421,25915,NONTOR
109,5724,50952,25173,NONTOR
123,5635,64815,25099,NONTOR
104,5898,114866,24578,NONTOR
87,5873,62711,25235,NONTOR
91,5679,75603,25780,NONTOR
91,5633,75536,25183,NONTOR
92,5473,198767,25378,NONTOR
4778,5943,37762,25414,NONTOR
2554,5929,45811,24269,NONTOR
102,5949,99111,24201,NONTOR
98,5887,39013,24321,NONTOR
108,5889,46262,34170,NONTOR
137,5911,80202,24871,NONTOR
2995,5887,46525,25312,NONTOR
91,5946,100286,24180,NONTOR
139,5963,43244,24392,NONTOR
96,5971,117137,24158,NONTOR
243,5916,40858,24903,NONTOR
90,5940,206433,24170,NONTOR
90,5935,86521,24286,NONTOR
114,5956,69420,25019,NONTOR
124,5969,75221,24284,NONTOR
178,5866,88229,24946,NONTOR
102,5954,81025,25620,NONTOR
2007,5957,49735,25645,NONTOR
175,5934,51312,24297,NONTOR
4925,5836,51604,25090,NONTOR
84,5872,71030,25044,NONTOR
97,5955,65093,24342,NONTOR
5506,5886,41952,24362,NONTOR
105,5932,43720,25416,NONTOR
5070,5924,39070,25670,NONTOR
95,5888,131864,25298,NONTOR
6979,5936,47074,25840,NONTOR
1358,5856,48032,24195,NONTOR
908,5981,44643,25951,NONTOR
205,5834,45569,24232,NONTOR
112,5925,96363,25586,NONTOR
118,5938,58807,25292,NONTOR
92,5971,109536,24185,NONTOR
171,5927,66524,25495,NONTOR
175,5935,60844,25085,NONTOR
92,5918,105321,25638,NONTOR
5201,5930,37473,24282,NONTOR
647,5952,40212,25039,NONTOR
97,5926,71104,25703,NONTOR
576,5911,42865,24346,NONTOR
93,5910,463667,26322,NONTOR
892,5973,61574,25067,NONTOR
115,5925,74440,24179,NONTOR
2783,5983,43011,24219,NONTOR
129,5922,72172,25082,NONTOR
92,5884,73160,25089,NONTOR
156,5887,62098,25357,NONTOR
91,5950,75472,25333,NONTOR
101,5479,128753,24185,NONTOR
124,5961,65727,25093,NONTOR
92,5964,79955,24350,NONTOR
1978,5959,42963,24856,NONTOR
89,5915,94196,25045,NONTOR
87,5924,149205,25053,NONTOR
117,5957,86902,24334,NONTOR
3859,5916,45315,24311,NONTOR
58,5895,67047,25321,NONTOR
4873,5891,34899,25064,NONTOR
95,5904,215828,24257,NONTOR
5488,5937,48499,24584,NONTOR
2923,5927,52438,24546,NONTOR
93,5966,46013,24315,NONTOR
914,5951,62163,25053,NONTOR
94,5947,75480,25349,NONTOR
52,5913,150786,25443,NONTOR
409,5971,67997,24601,NONTOR
104,5918,76406,25056,NONTOR
61,5954,68408,25033,NONTOR
93,5965,66296,24339,NONTOR
95,5857,125874,25894,NONTOR
3392,5959,43312,25303,NONTOR
90,5957,74973,28700,NONTOR
5174,5724,43911,24482,NONTOR
74,5879,163921,25315,NONTOR
99,5923,78341,25451,NONTOR
95,5815,68065,24329,NONTOR
94,5976,134200,25053,NONTOR
102,5968,80633,25278,NONTOR
3398,5914,46421,24243,NONTOR
110,5934,70315,24213,NONTOR
89,5859,117473,24831,NONTOR
195,5943,77066,25406,NONTOR
519,5957,35951,24218,NONTOR
60,5864,136507,24183,NONTOR
53,5878,100069,24186,NONTOR
113,5947,53276,25296,NONTOR
65,5942,79927,25395,NONTOR
112,5863,65019,25441,NONTOR
117,5913,61591,25319,NONTOR
119,5947,119764,24514,NONTOR
-1,5884,-1,26655,NONTOR
181,5889,40568,24476,NONTOR
179,5945,98046,25300,NONTOR
105,5931,108423,24473,NONTOR
124,5931,69015,25363,NONTOR
121,5882,73158,25066,NONTOR
7262,5951,43439,24984,NONTOR
5174,5900,39271,24314,NONTOR
119,5850,75364,24922,NONTOR
104,5832,51514,24413,NONTOR
92,5881,97092,25744,NONTOR
122,5912,95194,25068,NONTOR
106,5947,57510,25267,NONTOR
87,5969,151339,25433,NONTOR
4925,5858,35263,24499,NONTOR
1289,5870,35026,25071,NONTOR
225,5934,67965,25454,NONTOR
91,5858,73003,25038,NONTOR
92,5819,77806,25208,NONTOR
108,5871,77020,25399,NONTOR
99,5892,73420,24365,NONTOR
91,5905,111145,24376,NONTOR
185,5933,61237,24196,NONTOR
90,5860,73393,25546,NONTOR
117,5955,74170,25029,NONTOR
108,5951,44078,26398,NONTOR
2900,5962,43751,24657,NONTOR
204,5859,54202,25062,NONTOR
95,5965,458126,25415,NONTOR
94,5915,80905,24391,NONTOR
65,5959,67447,25481,NONTOR
59,5954,136056,24216,NONTOR
109,5920,69952,24911,NONTOR
96,5895,144500,24228,NONTOR
88,5919,169998,25345,NONTOR
92,5902,90125,26429,NONTOR
108,5864,104975,25002,NONTOR
105,5953,62305,24263,NONTOR
113,5905,71224,25346,NONTOR
151,5948,120098,25035,NONTOR
1198,5848,62617,25056,NONTOR
97,5971,84391,24460,NONTOR
114,5918,121755,24191,NONTOR
91,5841,75652,24361,NONTOR
108,5924,65343,25538,NONTOR
92,5754,67337,25381,NONTOR
112,5799,72174,24174,NONTOR
488,5835,73283,25023,NONTOR
96,5943,53276,25570,NONTOR
187,5882,245117,26535,NONTOR
90,5888,73024,25073,NONTOR
116,5910,75706,24214,NONTOR
95,5860,1020197,25271,NONTOR
1834,5952,67696,24281,NONTOR
940,5955,74289,24384,NONTOR
163,5925,68183,25376,NONTOR
2889,5953,77338,25002,NONTOR
101,5930,59055,24531,NONTOR
186,5888,69087,25305,NONTOR
5117,5923,41467,25358,NONTOR
133,5947,178539,25211,NONTOR
5884,5954,72881,25346,NONTOR
116,5870,128743,25579,NONTOR
801,5941,111281,25316,NONTOR
116,5923,98249,24177,NONTOR
144,5981,67211,25290,NONTOR
3465,5847,42943,25511,NONTOR
3133,5909,39239,25311,NONTOR
986,5941,78022,25248,NONTOR
3864,5945,39331,25309,NONTOR
193,5820,67193,25355,NONTOR
194,5935,55561,25102,NONTOR
223,5930,45331,25072,NONTOR
2832,5879,50991,24512,NONTOR
8549,5891,34209,25555,NONTOR
8596,5945,40750,25489,NONTOR
189,5936,63258,25064,NONTOR
4160,5887,57141,24195,NONTOR
1168,5879,39014,25132,NONTOR
1325,5924,41567,25449,NONTOR
112,5928,62898,25339,NONTOR
99,5863,83068,24949,NONTOR
251,5951,63006,25060,NONTOR
1983,5902,53115,25340,NONTOR
1982,5893,68110,24178,NONTOR
92,5899,75803,24270,NONTOR
182,5937,67559,24265,NONTOR
1530,5960,67791,24375,NONTOR
4893,5974,37964,25378,NONTOR
91,5800,120544,24257,NONTOR
98,5955,52735,25394,NONTOR
367,5959,77113,25306,NONTOR
192,5891,63507,24230,NONTOR
259,5964,58362,24320,NONTOR
1966,5901,43670,25065,NONTOR
2989,5914,30007,24199,NONTOR
682,5952,51099,25293,NONTOR
104,5868,48024,25327,NONTOR
92,5913,82552,25012,NONTOR
91,5925,100781,24436,NONTOR
163,5952,52024,24567,NONTOR
814,5906,67560,24935,NONTOR
1974,5870,38789,25351,NONTOR
998,5905,41967,25410,NONTOR
2304,5982,49459,25437,NONTOR
96,5780,54018,24197,NONTOR
954,5924,46396,24394,NONTOR
97,5909,84684,24179,NONTOR
2012,5918,38774,24974,NONTOR
380,5694,54542,24967,NONTOR
426,5674,43814,24762,NONTOR
10591,100,27709,62895,NONTOR
15638,100,26155,58090,NONTOR
15645,89,25446,117249,NONTOR
15632,81,25057,79454,NONTOR
15625,404,24658,46714,NONTOR
15665,101,25709,71873,NONTOR
15642,98,24639,82697,NONTOR
15502,2035,26611,40618,NONTOR
15650,93,26164,73592,NONTOR
15493,2900,24506,53877,NONTOR
15653,106,26521,96086,NONTOR
12424,52,25932,67238,NONTOR
15665,93,24940,57118,NONTOR
15658,911,25460,68763,NONTOR
15646,91,25446,57132,NONTOR
15587,69,24896,117695,NONTOR
15494,92,27808,63272,NONTOR
15516,82,24983,139620,NONTOR
15650,67,24603,74213,NONTOR
12432,73,26249,213746,NONTOR
15552,359,24941,72106,NONTOR
15634,78,24642,91908,NONTOR
15585,91,24754,107519,NONTOR
15477,92,25267,76186,NONTOR
15553,5406,24662,38168,NONTOR
15530,94,25300,72322,NONTOR
15485,93,25423,48938,NONTOR
15624,99,25141,58802,NONTOR
15654,256,25567,60893,NONTOR
15612,385,25144,47922,NONTOR
15505,2987,24718,49446,NONTOR
15516,1515,25751,43222,NONTOR
15643,2977,24627,37816,NONTOR
15662,4744,26646,50415,NONTOR
15653,267,24591,47030,NONTOR
15577,2821,24521,44453,NONTOR
15655,3420,24783,48152,NONTOR
15640,97,24699,97945,NONTOR
15572,54,24791,65753,NONTOR
14409,97,26442,124412,NONTOR
15651,475,26396,67949,NONTOR
15555,133,24651,56433,NONTOR
15581,227,26517,81335,NONTOR
15634,164,26111,45451,NONTOR
15576,4038,27030,37286,NONTOR
15622,623,25489,42955,NONTOR
15647,1331,24606,43349,NONTOR
15593,69,24626,69207,NONTOR
15648,102,25691,79379,NONTOR
15472,91,25967,464811,NONTOR
15533,1105,24386,58873,NONTOR
15641,1864,25055,42258,NONTOR
15652,57,25814,71685,NONTOR
15579,95,24733,81944,NONTOR
15542,98,25849,60910,NONTOR
15523,48,24430,78560,NONTOR
15532,3477,24853,36258,NONTOR
15610,4655,26325,43009,NONTOR
15632,102,26948,73419,NONTOR
15501,2686,24411,41355,NONTOR
15644,52,24669,80375,NONTOR
15643,56,25145,182614,NONTOR
12255,74,26738,86121,NONTOR
15604,94,24549,71087,NONTOR
15614,86,24613,106665,NONTOR
15610,82,26079,72790,NONTOR
15630,222,25499,64748,NONTOR
15648,65,24788,66333,NONTOR
15632,3148,26045,35589,NONTOR
15661,3126,24590,38810,NONTOR
15716,1400,25596,33937,NONTOR
15702,1185,25000,46762,NONTOR
15699,2582,24903,31736,NONTOR
15593,64,24758,86447,NONTOR
15496,64,26667,157509,NONTOR
15645,101,24860,78366,NONTOR
15711,52,24830,65068,NONTOR
15702,80,24769,73359,NONTOR
15576,92,24660,66349,NONTOR
15586,74,24635,72971,NONTOR
15705,4187,24716,33019,NONTOR
15516,56,26218,135277,NONTOR
15698,63,25984,58796,NONTOR
15720,98,24706,70950,NONTOR
15681,4582,24715,38820,NONTOR
15044,75,24730,165713,NONTOR
12371,315,24759,68411,NONTOR
11514,56,26305,67697,NONTOR
12085,87,26908,135060,NONTOR
15644,105,24598,58948,NONTOR
15708,311,25216,61294,NONTOR
12685,59,24643,125394,NONTOR
15492,97,25285,63258,NONTOR
15706,105,24948,53643,NONTOR
15561,598,25363,40928,NONTOR
15700,83,24929,153436,NONTOR
15508,54,26178,72971,NONTOR
15710,94,25014,78432,NONTOR
15698,101,26129,83157,NONTOR
15590,106,25478,79603,NONTOR
12631,104,25852,79010,NONTOR
15524,421,25258,59300,NONTOR
15514,-1,25455,-1,NONTOR
15544,85,24856,43766,NONTOR
15679,82,24534,108451,NONTOR
15619,3917,25568,45049,NONTOR
15568,87,25860,74943,NONTOR
14327,143,25684,48359,NONTOR
15500,103,24624,54472,NONTOR
15699,71,25157,75702,NONTOR
15666,83,24648,81637,NONTOR
14497,54,24669,95829,NONTOR
15658,104,24994,62462,NONTOR
15714,92,26453,148918,NONTOR
15583,558,24580,41549,NONTOR
15577,895,25910,37193,NONTOR
15605,102,25083,59476,NONTOR
15700,106,24755,74234,NONTOR
15587,95,25798,72383,NONTOR
15608,99,24672,75251,NONTOR
15585,86,27113,109685,NONTOR
15589,99,24936,51204,NONTOR
14814,92,25972,121430,NONTOR
15398,100,24672,71109,NONTOR
15665,86,25197,74256,NONTOR
15713,4346,24541,42381,NONTOR
15586,3254,26863,45114,NONTOR
15559,54,25109,464459,NONTOR
15684,105,24741,74330,NONTOR
15690,2902,25451,146121,NONTOR
15694,59,24753,67878,NONTOR
15710,104,24685,103510,NONTOR
15679,60,25807,153551,NONTOR
15718,76,24848,169128,NONTOR
15608,92,25438,88700,NONTOR
15643,887,24816,75723,NONTOR
11823,1122,25902,118112,NONTOR
15712,1807,24802,78328,NONTOR
15565,100,24573,83910,NONTOR
15730,97,24650,116219,NONTOR
15674,95,27067,97099,NONTOR
15667,192,24710,72482,NONTOR
15679,663,26483,74572,NONTOR
15512,113,25124,74016,NONTOR
15695,118,25562,60725,NONTOR
15689,1331,25089,71202,NONTOR
15610,309,24746,239231,NONTOR
15694,1189,24829,72226,NONTOR
15723,3612,24392,80794,NONTOR
15716,575,25519,66227,NONTOR
15706,862,24745,52237,NONTOR
12493,3663,25539,75264,NONTOR
11961,3927,27867,63131,NONTOR
15612,1059,25855,101289,NONTOR
15614,167,24691,43587,NONTOR
15538,846,25272,80975,NONTOR
15652,1753,25246,41776,NONTOR
15516,97,24852,186099,NONTOR
15552,94,25223,123417,NONTOR
15665,67,24685,96151,NONTOR
15557,78,24576,62733,NONTOR
15661,1570,25295,39470,NONTOR
15702,1409,25966,46409,NONTOR
15708,1799,25480,73975,NONTOR
15680,426,25273,55494,NONTOR
15657,156,24787,73366,NONTOR
15714,289,25417,64133,NONTOR
15502,96,24732,54206,NONTOR
15709,1512,24698,49672,NONTOR
15703,1216,24740,48194,NONTOR
15706,106,24505,53873,NONTOR
15652,96,25030,57016,NONTOR
15564,876,25253,44546,NONTOR
15508,4134,25338,56186,NONTOR
15685,3528,25834,35459,NONTOR
15600,3855,24729,72696,NONTOR
15690,53,25275,71402,NONTOR
15635,1727,25046,47933,NONTOR
15707,176,24706,44692,NONTOR
15693,3425,25338,44661,NONTOR
15692,361,26134,101954,NONTOR
15559,103,24716,77572,NONTOR
15707,102,24646,116024,NONTOR
15540,357,24350,58563,NONTOR
15699,773,25056,86220,NONTOR
15676,365,25106,50895,NONTOR
15707,95,24734,62818,NONTOR
15689,97,24680,47153,NONTOR
15709,110,24631,83859,NONTOR
15504,102,24693,51615,NONTOR
15699,813,24815,47917,NONTOR
15541,1431,26808,41269,NONTOR
15551,530,24730,73830,NONTOR
15658,576,24653,48156,NONTOR
15678,2095,24689,79618,NONTOR
15599,96,25314,55275,NONTOR
15550,81,24952,64647,NONTOR
15703,103,25579,65386,NONTOR
15555,2719,24962,39317,NONTOR
15681,102,25049,53837,NONTOR
15584,2880,25986,50291,NONTOR
11220,112,41723,80185,NONTOR
15668,95,25639,46414,NONTOR
15589,102,24988,41505,NONTOR
3,20,56823,57369,NONTOR
11,16,480114,482921,NONTOR
35,30361,113644,488705,NONTOR
28,95,27676,24659,NONTOR
34,6168,67778,484615,NONTOR
22,744,26706,30525,NONTOR
28,2499,75766,481035,NONTOR
27,1247,29930,35271,NONTOR
64,382,84657,487706,NONTOR
51,23,30016,26125,NONTOR
21,3806,85162,483399,NONTOR
607,42,36387,24875,NONTOR
57,9572,75887,481560,NONTOR
73,73,30460,25349,NONTOR
53,2643,99141,481173,NONTOR
18,398,32584,25212,NONTOR
49,11908,86425,482823,NONTOR
16,332,28483,25555,NONTOR
78,7877,94005,482131,NONTOR
55,477,27344,26014,NONTOR
227,16694,74692,481239,NONTOR
89,52,27821,24843,NONTOR
44,5825,68899,483083,NONTOR
23,17994,71376,482617,NONTOR
10,219,27280,25461,NONTOR
55,28801,82203,483414,NONTOR
135,2384,27318,24807,NONTOR
22,13728,77507,481973,NONTOR
12,32,26420,25569,NONTOR
57,2913,95983,482414,NONTOR
35,265,28358,25421,NONTOR
33,13771,72146,483270,NONTOR
115,1965,35311,25150,NONTOR
29,1531,88636,483104,NONTOR
6,7808,68335,481401,NONTOR
17,337,41322,25264,NONTOR
59,21432,100625,482503,NONTOR
15,84,27468,25465,NONTOR
30,58071,68445,482131,NONTOR
27,211,37989,25736,NONTOR
36,12036,71558,486228,NONTOR
59,104,33469,24927,NONTOR
44,831,75245,482658,NONTOR
31,27,27679,25177,NONTOR
24,5778,92878,487323,NONTOR
15,4035,71876,483840,NONTOR
19,55,30204,25059,NONTOR
31,11414,77669,485738,NONTOR
34,63,26563,25308,NONTOR
34,52136,90428,485129,NONTOR
67,366,30249,25107,NONTOR
8,36200,94252,484772,NONTOR
36,334,41193,25479,NONTOR
21,15544,77450,484534,NONTOR
85,7980,99487,482555,NONTOR
38,487,27956,28638,NONTOR
9,616,69792,485017,NONTOR
58,32,30731,25660,NONTOR
31,32698,76809,483543,NONTOR
58,136,42875,25245,NONTOR
79,3540,73439,483084,NONTOR
11,30,26621,24846,NONTOR
39,25334,91209,486746,NONTOR
54,101,30919,25249,NONTOR
31,7144,76482,483692,NONTOR
57,29,27260,25412,NONTOR
35,2945,90870,483276,NONTOR
28,71,27604,25308,NONTOR
20,20236,88137,484901,NONTOR
14,55,28324,35679,NONTOR
37,94,29324,25271,NONTOR
110,966,74005,481104,NONTOR
1037,118,26910,25193,NONTOR
22,2808,86257,481531,NONTOR
23,70,28980,26642,NONTOR
8,12316,95553,485100,NONTOR
65,71,30712,26072,NONTOR
65,17421,70161,490703,NONTOR
191,1027,43980,110159,NONTOR
8,-1,29860,-1,NONTOR
41,81470,68856,484051,NONTOR
63,0,6182347,6144207,NONTOR
17,0,7723710,7725102,NONTOR
75,148,27957,29244,NONTOR
73,61,21431,27401,NONTOR
57,210,21347,26879,NONTOR
60,208,21339,30551,NONTOR
62,1,21085,23001,NONTOR
72,1,21463,30026,NONTOR
52,198,30050,24326,NONTOR
46,0,7592783,7831200,NONTOR
30,196,21300,27801,NONTOR
65,234,21999,26521,NONTOR
55,162,20997,28978,NONTOR
71,152,21290,26185,NONTOR
59,138,21261,26937,NONTOR
74,98,21140,23253,NONTOR
74,1,21959,24418,NONTOR
70,90,21157,28447,NONTOR
67,199,21166,24428,NONTOR
67,130,21383,26298,NONTOR
68,159,21567,22903,NONTOR
49,109,21255,27875,NONTOR
66,193,21051,23370,NONTOR
72,149,21165,23237,NONTOR
71,215,21137,27752,NONTOR
125358,325549,125358,325549,NONTOR
71,142,21362,22927,NONTOR
70,1,21310,27570,NONTOR
72,205,21137,26862,NONTOR
76,1,21083,27650,NONTOR
68,179,21138,25174,NONTOR
144545,344082,144545,344082,NONTOR
72,1,21149,25241,NONTOR
66,152,21258,29245,NONTOR
70,197,21184,27256,NONTOR
68,135,21079,25048,NONTOR
69,192,21163,28984,NONTOR
168523,368053,168523,368053,NONTOR
72,195,4863933,4864723,NONTOR
58,0,944991,948618,NONTOR
33,7,133987,123853,NONTOR
85,17,26182,121858,NONTOR
80,26,22124,119477,NONTOR
71,33,41701,121034,NONTOR
448,30,22160,119947,NONTOR
134,23,22072,121464,NONTOR
60,34,22465,121630,NONTOR
86,23,22310,168845,NONTOR
57,9,26895,150693,NONTOR
619,13,22441,152343,NONTOR
59,39,26973,119899,NONTOR
73,27,21985,124875,NONTOR
51,30,21643,94420,NONTOR
122,25,22394,165951,NONTOR
57,31,21740,121021,NONTOR
387,9,23702,111437,NONTOR
239,37,24170,121814,NONTOR
87,20,22078,147167,NONTOR
77,27,24681,122590,NONTOR
68,33,23166,143519,NONTOR
66,25,23208,207680,NONTOR
64,27,25124,119653,NONTOR
115,17,24300,127228,NONTOR
63,26,26715,123952,NONTOR
56,33,24032,152563,NONTOR
175,22,25349,124708,NONTOR
53,36,22847,136466,NONTOR
60,14,22138,241339,NONTOR
39,9,31041,150775,NONTOR
127,11,25354,151270,NONTOR
56,25,21714,121466,NONTOR
241,9,23988,150467,NONTOR
87,34,22068,121844,NONTOR
56,13,24513,119460,NONTOR
77,33,22505,114600,NONTOR
59,13,23091,121499,NONTOR
77,15,21244,182754,NONTOR
57,25,21787,137745,NONTOR
64,9,21789,182002,NONTOR
40,19,22835,122631,NONTOR
129,22,21723,149292,NONTOR
58,22,25367,151572,NONTOR
53,34,23033,181214,NONTOR
47,36,21998,185421,NONTOR
139,14,22204,148258,NONTOR
65,13,21296,160466,NONTOR
62,42,23274,149984,NONTOR
55,9,22517,156324,NONTOR
152,32,21472,164176,NONTOR
69,38,21511,148717,NONTOR
54,36,58139,262227,NONTOR
37,7,56780,56460,NONTOR
37,7,480120,482963,NONTOR
85,33,54835,25702,NONTOR
39,30295,113685,489790,NONTOR
60,47,27643,25877,NONTOR
58,69,26705,31625,NONTOR
57,1876,75770,483059,NONTOR
80,60,29893,35855,NONTOR
38,47,84635,487445,NONTOR
89,13,30040,25417,NONTOR
67,3855,85168,483607,NONTOR
623,31,36383,25626,NONTOR
81,8916,75885,481741,NONTOR
60,3612,99075,481778,NONTOR
70,59,32664,25501,NONTOR
69,10975,86494,483500,NONTOR
59,32,28465,27055,NONTOR
104,8169,93987,482773,NONTOR
216,17145,74717,482138,NONTOR
135,41,27796,26112,NONTOR
117,5181,68910,484225,NONTOR
53,33,27393,27174,NONTOR
65,18170,71322,482698,NONTOR
55,28857,82200,484432,NONTOR
185,2355,27297,25283,NONTOR
75,13911,77491,481974,NONTOR
57,409,26429,27023,NONTOR
68,3918,96013,483292,NONTOR
50,33,28331,26715,NONTOR
61,13174,72129,484107,NONTOR
124,1930,35313,26501,NONTOR
65,1996,88707,484072,NONTOR
80,24,29105,25158,NONTOR
39,7075,68350,482711,NONTOR
69,39,41341,25648,NONTOR
76,45,27400,26241,NONTOR
39,12048,71560,486663,NONTOR
61,39,33419,26243,NONTOR
97,669,75202,483848,NONTOR
63,51,27646,25564,NONTOR
47,5466,92850,488840,NONTOR
60,36,30194,26981,NONTOR
47,74,26535,26301,NONTOR
51,51233,90423,485354,NONTOR
34,35371,94287,485637,NONTOR
124,33,41175,25763,NONTOR
58,15791,77372,484122,NONTOR
65,31,32186,26000,NONTOR
125,8233,99544,482834,NONTOR
79,45,27933,28104,NONTOR
39,456,69822,485883,NONTOR
84,46,30745,25417,NONTOR
55,31614,76827,484036,NONTOR
66,36,42896,25371,NONTOR
45,2590,73462,483577,NONTOR
63,34,26582,26054,NONTOR
66,25974,91230,486254,NONTOR
142,78,30921,25164,NONTOR
59,7143,76452,483008,NONTOR
80,41,27242,26108,NONTOR
71,19046,88115,485560,NONTOR
79,35,28338,35624,NONTOR
43,14991,70593,483394,NONTOR
69,755,29293,25969,NONTOR
126,1559,74025,481739,NONTOR
1016,33,26864,26201,NONTOR
41,2232,86254,483097,NONTOR
78,33,28975,25334,NONTOR
59,12977,95584,486088,NONTOR
134,46,30708,26213,NONTOR
88,17024,70198,490740,NONTOR
209,1663,43938,110142,NONTOR
44,-1,29833,-1,NONTOR
129,1,6385686,6579083,NONTOR
117,1,7250916,7250483,NONTOR
213,145,7431842,7360642,NONTOR
33,267,21014,25586,NONTOR
67,215,21050,29161,NONTOR
65,189,21002,23828,NONTOR
71,228,30079,28138,NONTOR
74,88,30117,26822,NONTOR
66,160,21137,22934,NONTOR
69,77,21017,29014,NONTOR
70,193,20982,26145,NONTOR
67,62,20964,25999,NONTOR
67,159,30075,22533,NONTOR
63,164,30166,28450,NONTOR
70,194,21241,22526,NONTOR
1326,1062,21018,28189,NONTOR
339657,140250,339657,140250,NONTOR
68,174,21439,25143,NONTOR
68,0,21041,24305,NONTOR
66,1,21369,24978,NONTOR
64,184,20851,27175,NONTOR
72,209,21288,23311,NONTOR
63,1,21249,25329,NONTOR
369655,166402,369655,166402,NONTOR
1547,202,21006,29070,NONTOR
63,235,20975,26146,NONTOR
66,198,21028,22578,NONTOR
62,100,20859,25462,NONTOR
61,585,21034,23906,NONTOR
107,195,21025,29259,NONTOR
102,1,29807,23000,NONTOR
66,173,20977,26427,NONTOR
399956,193544,399956,193544,NONTOR
68,1,21079,25831,NONTOR
66,126,20965,26259,NONTOR
69,0,21134,27447,NONTOR
1150,223,20983,26716,NONTOR
68,0,21226,31061,NONTOR
69,203,21131,28475,NONTOR
66,168,225830,63675,NONTOR
154,331,2005165,2004379,NONTOR
62,1,1030079,1029669,NONTOR
201874,201138,5834505,5833801,NONTOR
9457,48233,5092501,4885150,NONTOR
967,950,5430769,5426974,NONTOR
218,38404,5852512,5646046,NONTOR
109,61,3512089,3519164,NONTOR
136,38553,8444930,8444974,NONTOR
200498,200495,5112486,4853343,NONTOR
158,39239,5300581,5507910,NONTOR
617,39986,4421360,4378250,NONTOR
99371,102125,6662903,6452110,NONTOR
221,40350,4046582,5997427,NONTOR
200197,200173,3696074,3696072,NONTOR
695,2725,3732910,3524384,NONTOR
144,38540,3268662,2526108,NONTOR
560,42072,5185151,4978313,NONTOR
197,89,6918331,6920199,NONTOR
263,37459,9038843,9205127,NONTOR
102,37143,5294737,5294202,NONTOR
833,39912,4197299,3988994,NONTOR
3733139,3523630,5245264,5245237,NONTOR
129,1781,4947872,5098104,NONTOR
1250,38930,919102,711808,NONTOR
387,360,7371571,7150535,NONTOR
4194963,3988579,4194963,3988579,NONTOR
271,37456,9809992,9982179,NONTOR
547,38873,3410600,3410625,NONTOR
1034,38801,6543941,6751710,NONTOR
199405,199428,3212328,3212299,NONTOR
161,18802,5840763,5840139,NONTOR
210,57736,7593271,7748929,NONTOR
